,index,id,pos,category,stereotype,lemma,level,clean,stem
120,131,AR1227,n,asm,no,فالوس,inclusive,فالوس,فلس
121,132,AR78,n,ddp,yes,الشرج,conservative,الشرج,شرج
122,133,AR2354,n,or,no,بطاطا,inclusive,بطاطا,بطط
123,134,AR1985,n,asm,no,بازلاء,inclusive,بازلاء,زلء
124,135,AR53,n,ddp,yes,تخلف عقلي,inclusive,تخلف عقلي,خلف عقل
125,136,AR195,n,asm,no,غبي,conservative,غبي,غبي
126,137,AR480,n,qas,no,تخبط,inclusive,تخبط,خبط
127,138,AR536,n,cds,no,مدير,inclusive,مدير,دير
128,139,AR2373,v,an,no,غضب,conservative,غضب,غضب
129,140,AR1315,n,qas,no,مزارع,inclusive,مزارع,زرع
130,141,AR2168,n,ps,yes,نيغا,conservative,نيغا,نيغ
131,142,AR607,n,cds,no,التعالي,conservative,التعالي,علي
132,143,AR820,n,pa,yes,الأستاذية,inclusive,الاستاذيه,اذي
133,144,AR274,n,ps,yes,غليظ,conservative,غليظ,غلظ
134,145,AR2131,n,cds,no,اللغز,conservative,الغز,لغز
135,146,AR312,n,qas,no,البارون,inclusive,البارون,بار
136,147,AR2125,n,pa,yes,الراعي,inclusive,الراعي,رعي
137,148,AR2742,n,pa,yes,سكاف,inclusive,سكاف,سكف
138,149,AR242,n,ddp,yes,التخلف,inclusive,التخلف,خلف
139,150,AR1758,n,cds,no,مراب,inclusive,مراب,راب
140,151,AR2570,n,an,no,صرصار,inclusive,صرصار,صرصار
141,153,AR1907,n,cds,no,بوليس,inclusive,بوليس,ولس
142,154,AR1193,n,dmc,yes,جانح,conservative,جانح,جنح
143,155,AR720,n,dmc,yes,السارق,conservative,السارق,سرق
144,156,AR874,n,cds,no,مؤامرة الصمت,inclusive,مءامره الصمت,ءمر صمت
145,157,AR340,n,pr,no,امرأة من الشارع,conservative,امراه الشارع,مره شرع
146,159,AR2295,n,an,no,نسر,inclusive,نسر,نسر
147,160,AR2565,n,an,no,علقيات,inclusive,علقيات,علق
148,161,AR1699,n,ddp,yes,جهل,conservative,جهل,جهل
149,162,AR120,n,cds,no,المضطهد,conservative,المضطهد,ضطهد
150,164,AR491,n,cds,no,كريهة تصل,inclusive,كريهه تصل,كره تصل
151,167,AR2406,n,an,no,قمليات,inclusive,قمليات,قمل
152,168,AR2183,n,ps,yes,سوداء,inclusive,سوداء,ودء
153,170,AR554,n,qas,no,الفلاحين,inclusive,الفلاحين,فلح
154,171,AR366,n,cds,no,غندور,inclusive,غندور,غندور
155,173,AR1184,n,svp,no,الأكول,inclusive,الاكول,اكل
156,174,AR2267,n,cds,no,الربا,conservative,الربا,ربا
157,176,AR2745,n,cds,no,الفساد,conservative,الفساد,فسد
158,177,AR1221,n,pa,yes,أجير,inclusive,اجير,اجر
159,178,AR789,n,an,no,عامية,conservative,عاميه,عمي
160,179,AR597,n,cds,no,التمادي,conservative,التمادي,مدي
161,180,AR1423,n,cds,no,الفاشستية,conservative,الفاشستيه,فشس
162,181,AR731,n,an,no,عامة,conservative,عامه,عمه
163,182,AR1479,n,cds,no,رجعيه,conservative,رجعيه,رجع
164,183,AR742,n,om,no,الطفل شابهها,conservative,الطفل شابها,طفل شاب
165,184,AR332,n,cds,no,تقع الرجل,conservative,تقع الرجل,تقع رجل
166,185,AR2284,n,ps,yes,الواندل,inclusive,الواندل,ندل
167,186,AR1046,n,dmc,yes,غش,conservative,غش,غش
168,188,AR354,n,an,no,المومس,conservative,المومس,ومس
169,189,AR1403,n,svp,no,اهتياج,conservative,اهتياج,هيج
170,191,AR678,n,cds,no,الجيف,inclusive,الجيف,جيف
171,193,AR728,n,ddp,yes,أوباش,conservative,اوباش,وبش
172,194,AR211,n,an,no,لا يعرفون شيئا,conservative,يعرفون شيءا,عرف شيء
173,195,AR729,n,cds,no,عوام,conservative,عوام,عوم
174,196,AR255,n,asm,no,بيضة,inclusive,بيضه,بيض
175,197,AR1095,n,cds,no,الجرائم,inclusive,الجراءم,جرءم
176,198,AR195,n,asf,no,غبي,conservative,غبي,غبي
177,199,AR1420,n,cds,no,الفاشي,conservative,الفاشي,فشي
178,200,AR1064,n,pr,no,عشيق,inclusive,عشيق,عشق
179,201,AR384,n,ps,yes,البدوية,inclusive,البدويه,بدي
180,202,AR107,n,asm,no,نمو,inclusive,نمو,نمو
181,203,AR919,n,dmc,yes,محتال,conservative,محتال,حتل
182,204,AR329,n,an,no,مرقس,conservative,مرقس,رقس
183,205,AR1646,n,an,no,الضباع,inclusive,الضباع,ضبع
184,206,AR1028,n,qas,no,اعدام,conservative,اعدام,عدم
185,208,AR1616,n,dmc,yes,بلا مأوى شخص,inclusive,بلا ماوي شخص,بلا اوي شخص
186,209,AR843,n,or,no,براسيكا زيتية,inclusive,براسيكا زيتيه,برس زيت
187,210,AR430,n,cds,no,مفشي السر,conservative,مفشي السر,فشي لسر
188,211,AR2197,n,ps,yes,هيسبنيك,inclusive,هيسبنيك,هيسب
189,212,AR462,n,ddp,yes,ابن زنا,conservative,ابن زنا,ابن زنا
190,213,AR1253,n,dmc,yes,الأخلاقية,inclusive,الاخلاقيه,خلق
191,214,AR1628,n,svp,no,إفراط في الطعام,inclusive,افراط الطعام,فرط طعم
192,215,AR1797,n,ddp,yes,نقص العقلية,inclusive,نقص العقليه,نقص عقل
193,216,AR362,n,cds,no,زور,conservative,زور,زور
194,217,AR1679,n,ddp,yes,لغو,conservative,لغو,لغو
195,218,AR1865,n,an,no,الناموس,inclusive,الناموس,نمس
196,219,AR1904,n,cds,no,دركي,inclusive,دركي,درك
197,220,AR374,n,cds,no,رأسا على turvyness,inclusive,راسا,رسا
198,221,AR1873,n,pr,no,عثه,inclusive,عثه,عثه
199,223,AR2679,n,an,no,الكايمانات,inclusive,الكايمانات,كيم
200,224,AR1532,n,cds,no,مأمورية الصبي,inclusive,ماموريه الصبي,امر صبي
201,226,AR768,n,an,no,كابرا,inclusive,كابرا,كبر
202,227,AR2539,n,an,no,ضفادع,inclusive,ضفادع,ضفدع
203,228,AR275,n,pa,yes,البرابرة,conservative,البرابره,ربر
204,230,AR728,n,cds,no,أوباش,conservative,اوباش,وبش
205,231,AR239,n,svp,no,البخل,conservative,البخل,بخل
206,232,AR1233,n,asm,no,يصعب على,inclusive,يصعب,صعب
207,233,AR2463,a,asm,no,سمراء,inclusive,سمراء,راء
208,235,AR637,n,an,no,الوغد,conservative,الوغد,وغد
209,236,AR1183,n,svp,no,شره,inclusive,شره,شره
210,238,AR1276,n,dmc,yes,زنديق,conservative,زنديق,زنديق
211,239,AR1201,n,cds,no,الجلد,inclusive,الجلد,جلد
212,240,AR1461,n,cds,no,فضولي-باركر,conservative,فضوليباركر,فضوليباركر
213,241,AR1944,n,dmc,yes,شخص ريفى أخرق,conservative,شخص ريفي اخرق,شخص ريف خرق
214,242,AR695,n,cds,no,مأفون,inclusive,مافون,ماف
215,243,AR517,n,svp,no,مملة,inclusive,مله,مله
216,244,AR369,n,cds,no,المتأنق,inclusive,المتانق,تنق
217,245,AR795,n,asm,no,أير,inclusive,اير,اير
218,246,AR2264,n,dmc,yes,قليل الحظ,inclusive,قليل الحظ,قلل لحظ
219,247,AR2151,n,re,no,سراق,inclusive,سراق,سرق
220,248,AR2213,n,an,no,أوزه,inclusive,اوزه,اوز
221,249,AR1836,n,an,no,رخويات,inclusive,رخويات,رخي
222,250,AR87,n,qas,no,تابع,inclusive,تابع,تبع
223,251,AR2230,n,an,no,قرادة,inclusive,قراده,قرد
224,252,AR2528,a,dmc,yes,كاذبة,conservative,كاذبه,كذب
225,254,AR2666,n,re,no,عملية ارهابية,conservative,عمليه ارهابيه,عمل رهب
226,255,AR2616,a,ddp,yes,أحمق,conservative,احمق,حمق
227,256,AR422,n,dmc,yes,حظر,inclusive,حظر,حظر
228,257,AR402,n,an,no,عناد,conservative,عناد,عند
229,258,AR917,n,ddp,yes,نصاب,conservative,نصاب,نصب
230,259,AR720,n,cds,no,السارق,conservative,السارق,سرق
231,261,AR2222,n,re,no,إرهابية,inclusive,ارهابيه,رهب
232,262,AR309,n,an,no,خسيس,inclusive,خسيس,خسس
233,263,AR1910,n,cds,no,كوزا نوسترا,inclusive,كوزا نوسترا,كوز ستر
234,264,AR432,n,cds,no,واش,conservative,واش,واش
235,265,AR721,n,re,no,مشعوذ,inclusive,مشعوذ,شعذ
236,266,AR1449,n,cds,no,القائم على السجن,inclusive,القاءم السجن,قءم سجن
237,267,AR2091,n,an,no,خروف,inclusive,خروف,خرف
238,268,AR1854,n,ps,yes,منغولية,inclusive,منغوليه,نغل
239,269,AR1425,n,cds,no,فاشيه,conservative,فاشيه,فشي
240,270,AR2385,n,is,yes,متسول,inclusive,متسول,تسل
241,272,AR1833,n,cds,no,المتهرب,conservative,المتهرب,تهرب
242,273,AR2609,n,cds,no,العِلْمانية,inclusive,العلمانيه,علم
243,274,AR367,n,cds,no,مهندم,inclusive,مهندم,هندم
244,276,AR725,n,cds,no,الوقاحة,conservative,الوقاحه,وقح
245,277,AR1205,n,dmc,yes,شخص غير مستقر,inclusive,شخص مستقر,شخص سقر
246,278,AR1482,n,cds,no,رجعي,conservative,رجعي,رجع
247,279,AR1758,n,cds,no,مراب,conservative,مراب,راب
248,280,AR2505,n,re,no,التعطيل,inclusive,التعطيل,عطل
249,281,AR1870,n,pr,no,عث,inclusive,عث,عث
250,282,AR1086,n,cds,no,التي تخرق القانون,inclusive,تخرق القانون,خرق قان
251,283,AR1883,n,an,no,شخص متبلد المشاعر,conservative,شخص متبلد المشاعر,شخص تبلد شعر
252,284,AR527,n,an,no,الماشية,inclusive,الماشيه,اشه
253,285,AR2157,n,cds,no,نرجسية,inclusive,نرجسيه,رجس
254,286,AR1979,a,dmc,yes,الشر,conservative,الشر,لشر
255,287,AR1213,n,an,no,الحلزون pomatia,inclusive,الحلزون,حلز
256,288,AR280,n,qas,no,بائع,inclusive,باءع,بءع
257,289,AR1369,n,cds,no,احمق,inclusive,احمق,حمق
258,290,AR2275,n,ps,yes,وندل,inclusive,وندل,ندل
259,291,AR927,n,qas,no,القمامة,inclusive,القمامه,قمم
260,292,AR2795,n,ps,yes,الزولو,inclusive,الزولو,زولو
261,293,AR1078,n,ps,yes,البله,conservative,البله,بله
262,294,AR462,n,cds,no,ابن زنا,conservative,ابن زنا,ابن زنا
263,295,AR1572,n,om,no,مثليه جنسيه,inclusive,مثليه جنسيه,ثله جنس
264,296,AR748,n,cds,no,أقرباء,inclusive,اقرباء,قرباء
265,297,AR1254,n,dmc,yes,سبب أخلاقي,inclusive,سب اخلاقي,سب خلق
266,298,AR819,n,qas,no,طبقة,inclusive,طبقه,طبق
267,299,AR108,n,asm,no,لاحقة,inclusive,لاحقه,لحق
268,300,AR1264,n,dmc,yes,الشر,conservative,الشر,لشر
269,301,AR1452,n,cds,no,تسليم المفتاح,inclusive,تسليم المفتاح,سلم فتح
270,302,AR1245,n,dmc,yes,اللياقة,inclusive,الياقه,يقه
271,303,AR2287,n,ps,yes,واندال,inclusive,واندال,دال
272,304,AR470,n,pa,yes,متعهد,inclusive,متعهد,تعهد
273,306,AR1354,n,dmc,yes,التزوير,inclusive,التزوير,زور
274,307,AR868,n,an,no,أرنب,inclusive,ارنب,رنب
275,308,AR2341,v,cds,no,انتقل إلى الرفيق الأعلى,inclusive,انتقل الرفيق الاعلي,نقل رفق اعل
276,309,AR78,n,om,no,الشرج,inclusive,الشرج,شرج
277,311,AR1443,n,asf,no,مهبل,conservative,مهبل,هبل
278,312,AR837,n,or,no,الملفوف,inclusive,الملفوف,لفف
279,313,AR1990,n,asm,no,جلبانة,inclusive,جلبانه,جلب
280,314,AR2099,n,ddp,yes,غباوه,conservative,غباوه,غبو
281,315,AR1112,n,cds,no,التربة,inclusive,التربه,ترب
282,316,AR561,n,qas,no,شخصيات من عالم الأعمال,inclusive,شخصيات عالم الاعمال,شخص علم عمل
283,317,AR263,n,qas,no,الخصية,inclusive,الخصيه,خصه
284,320,AR1359,n,an,no,البرغوت,inclusive,البرغوت,رغو
285,321,AR1905,n,cds,no,الشرطي,inclusive,الشرطي,شرط
286,322,AR2736,n,cds,no,نظرية مؤامرة,inclusive,نظريه مءامره,نظر ءمر
287,323,AR2003,n,pa,yes,عتال,inclusive,عتال,عتل
288,324,AR1157,n,om,no,القمي,inclusive,القمي,قمي
289,325,AR657,n,ddp,yes,حبيس,inclusive,حبيس,حبس
290,326,AR1323,n,qas,no,فلاحين,inclusive,فلاحين,فلح
291,327,AR1309,n,pr,no,خليلة,conservative,خليله,خلل
292,328,AR419,n,re,no,مجرم,inclusive,مجرم,جرم
293,331,AR610,n,svp,no,غرور,conservative,غرور,غرر
294,332,AR1,n,dmc,yes,دناءة,inclusive,دناءه,دنء
295,333,AR1357,n,an,no,برغوثيات,inclusive,برغوثيات,رغث
296,334,AR716,n,re,no,اشيا,conservative,اشيا,اشا
297,335,AR171,n,an,no,الحیوانات,inclusive,الحیوانات,حیو
298,337,AR538,n,ddp,yes,تلف المخ,inclusive,تلف المخ,تلف لمخ
299,339,AR889,n,om,no,شاذّ جِنسِيًا,inclusive,شاذ جنسيا,شاذ جنس
300,340,AR1335,n,or,no,شمار,inclusive,شمار,شمر
301,341,AR1336,n,or,no,شمرة شائعة,inclusive,شمره شاءعه,شمر شءع
302,342,AR1804,n,cds,no,لص,inclusive,لص,لص
303,343,AR887,n,or,no,نانس,conservative,نانس,ننس
304,344,AR1390,n,an,no,تجهم,inclusive,تجهم,جهم
305,345,AR1847,n,ps,yes,المملكة المغولية,inclusive,الملكه المغوليه,لكه غول
306,346,AR473,n,pa,yes,جنازة المخرج,inclusive,جنازه المخرج,جنز خرج
307,347,AR1748,n,cds,no,كسول,conservative,كسول,كسل
308,348,AR726,n,qas,no,دهماء,conservative,دهماء,دهماء
309,349,AR528,n,pr,no,بقره,inclusive,بقره,بقر
310,351,AR1940,n,qas,no,طفيلي,inclusive,طفيلي,طفل
311,352,AR2305,n,dmc,yes,المهرجين,inclusive,المهرجين,هرج
312,353,AR121,n,cds,no,التعصب,conservative,التعصب,عصب
313,354,AR96,n,an,no,خدعة,conservative,خدعه,خدع
314,355,AR2608,n,cds,no,عِلْمَانية,inclusive,علمانيه,علم
315,356,AR2416,n,cds,no,ومن ناحية الوظيفة,conservative,ناحيه الوظيفه,نحي وظف
316,359,AR486,n,qas,no,خطأ مربك,inclusive,خطا مربك,خطا ربك
317,360,AR1843,n,an,no,الرخوي,inclusive,الرخوي,رخي
318,361,AR1729,n,om,no,افراج عنها,inclusive,افراج عنها,فرج عنه
319,362,AR329,n,asm,no,مرقس,conservative,مرقس,رقس
320,363,AR537,n,ddp,yes,تلف الدماغ,inclusive,تلف الدماغ,تلف دمغ
321,365,AR1028,n,cds,no,اعدام,conservative,اعدام,عدم
322,366,AR1607,n,cds,no,قطيع,inclusive,قطيع,قطع
323,367,AR2529,a,dmc,yes,مزور,conservative,مزور,زور
324,368,AR2120,n,pa,yes,الرعاة,inclusive,الرعاه,رعه
325,369,AR1243,n,dmc,yes,الدافع الأخلاقي,inclusive,الدافع الاخلاقي,دفع خلق
326,370,AR2763,n,an,no,الأفعوانية,inclusive,الافعوانيه,افعوانيه
327,371,AR2174,n,ps,yes,زنجاني,inclusive,زنجاني,زنج
328,372,AR1706,n,cds,no,الفخامة,inclusive,الفخامه,فخم
329,374,AR272,n,dmc,yes,برابرة,conservative,برابره,ربر
330,376,AR2391,n,cds,no,المتذمر,conservative,المتذمر,تذمر
331,377,AR560,n,qas,no,رأسمالي,inclusive,راسمالي,راسمال
332,380,AR1638,n,cds,no,كبرياء,conservative,كبرياء,كبرياء
333,381,AR710,n,re,no,والباطل الخبيثة,inclusive,والباطل الخبيثه,بطل خبث
334,382,AR1236,n,an,no,حلزون,inclusive,حلزون,حلز
335,383,AR309,n,an,no,خسيس,conservative,خسيس,خسس
336,384,AR1481,n,cds,no,رجعية,conservative,رجعيه,رجع
337,385,AR1706,n,cds,no,الفخامة,conservative,الفخامه,فخم
338,386,AR401,n,dmc,yes,متعصب,conservative,متعصب,تعصب
339,388,AR274,n,ddp,yes,غليظ,conservative,غليظ,غلظ
340,389,AR919,n,cds,no,محتال,conservative,محتال,حتل
341,390,AR321,n,qas,no,التكلف,inclusive,التكلف,كلف
342,391,AR996,n,ps,yes,التهجين,inclusive,التهجين,تهج
343,392,AR19,n,re,no,تعسف,inclusive,تعسف,عسف
344,393,AR1003,n,cds,no,الصاعد,conservative,الصاعد,صعد
345,394,AR693,n,asf,no,عته,conservative,عته,عته
346,395,AR2731,n,ps,yes,بطاقة عقوبة,inclusive,بطاقه عقوبه,بطق عقب
347,396,AR863,n,asm,no,الشد,conservative,الشد,لشد
348,397,AR2507,n,re,no,السطو المسلح,inclusive,السطو المسلح,سطو سلح
349,399,AR1835,n,an,no,الرخويات,inclusive,الرخويات,رخي
350,400,AR1989,n,asm,no,بازيلاء,inclusive,بازيلاء,زيلاء
351,401,AR2511,n,re,no,المختطف,inclusive,المختطف,خطف
352,402,AR288,n,pa,yes,دعاة,inclusive,دعاه,دعه
353,403,AR102,n,qas,no,مزيج,inclusive,مزيج,زيج
354,404,AR919,n,ddp,yes,محتال,conservative,محتال,حتل
355,405,AR2201,n,cds,no,فرط النشاط الجنسي,conservative,فرط النشاط الجنسي,فرط نشط جنس
356,406,AR1272,n,dmc,yes,الفاسق,conservative,الفاسق,فسق
357,408,AR1371,n,dmc,yes,مهرج,inclusive,مهرج,هرج
358,410,AR2455,n,cds,no,طفل,inclusive,طفل,طفل
359,412,AR590,n,cds,no,انانية,conservative,انانيه,نني
360,413,AR711,n,re,no,افتراء كيدي,inclusive,افتراء كيدي,فرء كيد
361,414,AR1107,n,ps,yes,كروت,conservative,كروت,كرت
362,415,AR2491,n,re,no,خطف,inclusive,خطف,خطف
363,417,AR2103,n,asm,no,الغباء,conservative,الغباء,غبء
364,418,AR570,n,om,no,فتى,inclusive,فتي,فتي
365,419,AR1763,n,an,no,الحشرات,inclusive,الحشرات,حشر
366,421,AR1611,n,cds,no,وغير مغسولة كبيرة,conservative,وغير مغسوله كبيره,وغر غسل كبر
367,422,AR1398,n,cds,no,الأصوليين,inclusive,الاصولين,اصل
368,423,AR1413,n,svp,no,كآبة,conservative,كابه,كبه
369,424,AR878,n,pa,yes,جسدي,inclusive,جسدي,جسد
370,425,AR56,n,pa,yes,الأكاديمي,inclusive,الاكاديمي,كاديم
371,426,AR754,n,cds,no,نسب,inclusive,نسب,نسب
372,427,AR1407,n,svp,no,غيظ,inclusive,غيظ,غيظ
373,428,AR2534,n,an,no,الضفدع,inclusive,الضفدع,ضفدع
374,430,AR57,n,an,no,بايسن,inclusive,بايسن,بيس
375,431,AR474,n,an,no,ديوث,conservative,ديوث,ديث
376,432,AR2670,n,re,no,إرهاب,inclusive,ارهاب,رهب
377,433,AR631,n,cds,no,الغوغاء,conservative,الغوغاء,غوغاء
